0x0900,"Methane"
0x0A00,"Methane"
0x0A01,"Acetic acid"
0x0A02,"Acetone"
0x0A03,"Ammonia"
0x0A04,"Butane"
0x0A05,"Butyl-acetate"
0x0A06,"Cyclo-hexane"
0x0A07,"Cyclo-pentane"
0x0A08,"Dioxane"
0x0A09,"Ethane"
0x0A0A,"Ethanol"
0x0A0B,"Ethyl-acetate"
0x0A0C,"Ethylene"
0x0A0D,"Hydrogen"
0x0A0E,"Iso-butane"
0x0A0F,"Pentane"
0x0A10,"Iso-propyl-alcool"
0x0A11,"Metanolo"
0x0A12,"Metyletilkhetone"
0x0A13,"Iso-butyl-alcool"
0x0A14,"N-butyl-alcool"
0x0A15,"N-heptane"
0x0A16,"N-hexane"
0x0A17,"N-propanol"
0x0A18,"Propane"
0x0A19,"Iso-octane"
0x0A1A,"Nonane"
0x0A1B,"Decane"
0x0A1C,"Propylene"
0x0A1D,"Styrene monomer"
0x0A1E,"Toluene"
0x0A1F,"Iso-pentane"
0x0A20,"Xylene"
0x0A21,"Gasoline vapours"
0x0A22,"GPL"
0x0A23,"Ethylene oxide"
0x0A24,"Heptane"
0x0A25,"Di-ethylether"
0x0A26,"Xilolo"
0x0A27,"N-Octane"
0x0A28,"Carbon Monoxide"
0x0B00,"Nitric-oxide"
0x0C00,"Carbon-monoxide"
0x0D00,"Sulphur-dioxide"
0x0E00,"Sulphur-dioxide"
0x0F00,"Hydrogen"
0x1000,"Nitrogen-dioxide"
0x1100,"Chlorine"
0x1200,"Carbon-monoxide"
0x1300,"Oxygen"
0x1400,"Chlorine"
0x1500,"Ammonia"
0x1600,"Oxygen"
0x1700,"Oxygen"
0x1800,"Carbon-monoxide"
0x1900,"Hydrogen Sulphide"
0x1A00,"Methane"
0x1A01,"LPG"
0x1A02,"Gasoline Vapours"
0x1A03,"Butane"
0x1A04,"Propane"
0x1B00,"Butane"
0x1C00,"Ethyl ether"
0x1C01,"Methane"
0x1D00,"Ethyl-Alchool"
0x1E00,"Ozone"
0x1F00,"Carbon Monoxide"
0x2000,"Methane"
0x2001,"Propane"
0x2002,"N-Butane"
0x2003,"N-Pentane"
0x2004,"N-Hexane"
0x2005,"N-Heptane"
0x2006,"N-Octane"
0x2007,"Metanol"
0x2008,"Ethanol"
0x2009,"Iso-Propanol"
0x200A,"Carbon monoxide"
0x200B,"Acetone"
0x200C,"Metyletilkhetone"
0x200D,"Toluene"
0x200E,"Ethyl-Acetate"
0x200F,"Hydrogen"
0x2010,"Ammonia"
0x2011,"Unleaded Gasoline"
0x2012,"Ethylene"
0x2100,"Methane"
0x2101,"Propane"
0x2102,"N-Butane"
0x2103,"N-Pentane"
0x2104,"N-Hexane"
0x2105,"N-Heptane"
0x2106,"N-Octane"
0x2107,"Methanol"
0x2108,"Ethanol"
0x2109,"Iso-propanol"
0x210A,"Carbon-monoxide"
0x210B,"Acetone"
0x210C,"Metyletilkhetone"
0x210D,"Toluene"
0x210E,"Ethyl-acetate"
0x210F,"Hydrogen"
0x2110,"Ammonia"
0x2111,"Unleaded gasoline"
0x2112,"Ethylene"
0x2113,"Ammonia"
0x2200,"Methane"
0x2201,"Propane"
